,buurtnaam,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect
308,Orteliusbuurt Zuid,5.0,0.0,118526.74381266968,486537.09508416284,4.851706858579186,52.36550727534842,795.0,924.0,1646.0,247.0,3298.0,0,1105,1075,2,0,0,1,1,1,3
309,Osdorp Midden Noord,2.0,1.0,114413.82849962321,486211.40138960065,4.791363661032404,52.362291664099466,653.0,757.0,1855.0,223.0,4710.0,517,1044,1273,0,0,1,1,0,0,2
310,Osdorp Midden Zuid,10.0,0.0,114570.69693021725,485805.00288479263,4.7937153471889395,52.358650850928235,756.0,879.0,2102.0,11.0,2681.0,940,1366,1412,5,0,1,1,1,1,4
311,Osdorp Zuidoost,42.0,1.0,115751.22243713384,485289.93861559266,4.8111044149752145,52.35410743406489,1047.0,1216.0,2286.0,115.0,726.0,1953,2174,1908,40,1,1,1,1,1,5
312,Osdorper Binnenpolder,12.0,14.0,113588.83183505153,488276.41947422683,4.778998146082475,52.3807886086598,239.0,278.0,454.0,0.0,25078.0,1,16,2,10,0,0,0,1,1,2
313,Osdorper Bovenpolder,87.0,3.0,113442.25140897755,487150.94535411475,4.776983654538654,52.370662506608475,1688.0,1955.0,3976.0,1072.0,7599.0,34,395,258,84,1,1,0,1,1,4
314,Osdorpplein e.o.,11.0,0.0,115284.4138648053,485713.357907421,4.804202790624541,52.357879282343866,457.0,530.0,2191.0,326.0,10974.0,792,1557,2261,9,0,1,1,1,1,4
315,Oude Kerk e.o.,106.0,0.0,121595.37167723669,487447.88954586635,4.896668064847112,52.373888059275195,732.0,850.0,1591.0,5048.0,31608.0,32,765,513,102,0,1,0,1,1,3
316,Overamstel,0.0,2.0,121847.043125,482009.0859375,4.90089957375,52.325022856875,2090.0,2420.0,3960.0,0.0,100990.0,0,16,0,0,1,0,0,0,0,1
317,Overbraker Binnenpolder,1.0,1.0,119301.532125,489353.0965625,4.862782564375,52.390866261875,0.0,0.0,0.0,8998.0,50372.0,2,3,0,0,1,0,0,0,0,1
318,Overhoeks,2.0,3.0,122072.91772558921,488819.24361826596,4.9035460171548815,52.386241649545454,5.0,5.0,2293.0,0.0,30842.0,0,1022,2183,1,0,0,1,1,0,2
319,Overtoomse Veld Noord,30.0,1.0,117617.56487905934,486699.3303646883,4.838340909458753,52.3669041791676,495.0,574.0,2263.0,59.0,972.0,1256,1812,2332,22,0,1,1,1,1,4
320,Overtoomse Veld Zuid,9.0,7.0,117630.86822577284,486197.7996213963,4.838591972212574,52.362397706307746,406.0,472.0,1729.0,963.0,18483.0,776,2249,2641,6,0,1,1,1,1,4
321,P.C. Hooftbuurt,1.0,0.0,120502.18009293194,485928.5425026178,4.880771392212043,52.3601656518979,1175.0,1363.0,2564.0,1643.0,20324.0,0,741,456,0,1,0,0,0,0,1
322,Papaverweg e.o.,221.0,5.0,122291.31455657238,490009.58229284524,4.906637900524126,52.3969525914975,116.0,133.0,2053.0,2327.0,17327.0,90,695,740,215,0,1,0,1,1,3
323,Paramariboplein e.o.,56.0,6.0,118781.05740328638,486102.3606544601,4.855487358347418,52.36161702839906,916.0,1063.0,1980.0,681.0,6678.0,45,2130,2003,51,0,1,1,1,1,4
324,Park Haagseweg,0.0,0.0,116709.91437272727,484135.40932727273,4.825306888431818,52.34379907763636,1010.0,1173.0,2892.0,0.0,0.0,0,440,440,0,1,0,0,0,0,1
325,Park de Meer,0.0,1.0,125190.89899580421,484113.57626433566,4.949761167342658,52.344128284937064,0.0,0.0,2829.0,0.0,589.0,0,0,699,0,0,0,0,0,0,0
326,Parooldriehoek,1.0,2.0,122772.21916030535,485237.05497709924,4.91416100091603,52.35408889389313,589.0,685.0,1079.0,81.0,0.0,10,131,120,0,0,1,0,0,0,1
327,Passeerdersgrachtbuurt,36.0,0.0,120536.41304423592,486716.35305898124,4.881193157935657,52.3672480963807,863.0,1001.0,1855.0,758.0,4386.0,0,742,647,33,0,0,0,1,1,2
328,Petroleumhaven,62.0,0.0,117936.5694387755,491723.64334693877,4.842469054183674,52.41207959153061,0.0,0.0,0.0,467.0,246386.0,20,21,0,57,0,1,0,1,1,3
329,Pieter van der Doesbuurt,3.0,1.0,118937.21325631431,487367.64550420956,4.857643988830683,52.37299874974743,858.0,996.0,1946.0,239.0,1761.0,0,1069,1020,0,0,0,1,0,0,1
330,Plan van Gool,5.0,1.0,124293.70623001402,489951.4071991585,4.936062135007012,52.39654544840813,335.0,388.0,1956.0,3.0,66.0,1421,1419,1403,2,0,1,1,1,1,4
331,Planciusbuurt Noord,13.0,0.0,120780.63888372092,488920.92279069766,4.884554368992248,52.38707643992248,700.0,814.0,1378.0,40.0,242.0,2,244,241,12,0,0,0,1,1,2
332,Planciusbuurt Zuid,2.0,0.0,120656.84413970588,488648.31271323527,4.882763882205882,52.38461869242647,672.0,782.0,1746.0,746.0,10318.0,0,136,123,2,0,0,0,1,1,2
333,Postjeskade e.o.,2.0,1.0,118500.53317472336,486036.3990681421,4.851376405742574,52.36100564815376,877.0,1019.0,1891.0,18.0,1183.0,1,1717,1684,0,0,0,1,0,0,1
334,Prinses Irenebuurt,2.0,0.0,119920.16269831224,484005.8192616034,4.872428097721519,52.34284864030591,1434.0,1664.0,3059.0,0.0,2175.0,706,897,639,0,1,1,0,0,0,2
335,RAI,0.0,5.0,121075.25446428571,483801.4303928572,4.889398312142857,52.34108429607143,703.0,816.0,1353.0,3880.0,7962.0,8,21,0,0,0,0,0,0,0,0
336,RI Oost terrein,0.0,3.0,126337.33395451041,487328.1807586739,4.966310490612953,52.37308016572089,0.0,0.0,1818.0,0.0,19656.0,0,0,2540,0,0,0,1,0,0,1
337,Ransdorp,5.0,0.0,128285.63602666666,489505.9851133334,4.994746333866666,52.39275111773333,1606.0,1862.0,3813.0,584.0,4218.0,19,150,130,4,1,1,0,1,1,4
338,Rapenburg,18.0,0.0,122477.94949475066,487152.19331496063,4.909656592401575,52.37128352237533,787.0,915.0,1970.0,3113.0,8598.0,42,756,662,11,0,1,0,1,1,3
339,Rechte H-buurt,0.0,0.0,125641.89262100458,480447.70792617963,4.9566986575570775,52.31120579702436,243.0,283.0,2256.0,0.0,0.0,1301,1314,1280,0,0,1,1,0,0,2
340,Reguliersbuurt,6.0,0.0,121337.58008097166,486638.2806882591,4.892963670465587,52.36659610793522,943.0,1094.0,1795.0,4202.0,33735.0,9,490,240,0,0,0,0,0,0,0
341,Reigersbos Midden,4.0,0.0,126579.35140909092,478454.40705145797,4.970613107512865,52.29334023067753,946.0,1098.0,2168.0,0.0,0.0,0,1166,1118,3,0,0,1,1,1,3
342,Reigersbos Noord,5.0,0.0,126340.57238126009,478833.3283516424,4.967080951141626,52.29673339422187,1183.0,1373.0,2238.0,0.0,0.0,1773,1857,1830,0,1,1,1,0,0,3
343,Reigersbos Zuid,1.0,0.0,126823.46832454547,478164.0400181818,4.9742155274272735,52.29074308233636,1011.0,1174.0,2516.0,0.0,0.0,0,1100,1072,0,1,0,1,0,0,2
344,Rembrandtpark Noord,0.0,0.0,117976.83673243242,486582.2620432432,4.843628537432433,52.36587641140541,722.0,838.0,1891.0,0.0,0.0,367,365,361,0,0,1,0,0,0,1
345,Rembrandtpark Zuid,2.0,0.0,117974.52384696016,486179.51360587,4.843638933815513,52.36225665515723,25.0,28.0,1883.0,0.0,0.0,476,458,452,0,0,1,0,0,0,1
346,Rembrandtpleinbuurt,5.0,0.0,121687.10416898609,486604.2314413519,4.898098676978131,52.366311420178924,1001.0,1165.0,1979.0,5631.0,20859.0,8,503,314,2,1,0,0,1,1,3
347,Riekerhaven,2.0,2.0,117541.89011818181,483988.5024527273,4.837531714454545,52.34253612676363,590.0,687.0,1405.0,465.0,3086.0,4,540,530,0,0,0,0,0,0,0
348,Riekerpolder,8.0,0.0,116597.59935714286,483792.58379999996,4.823697929857143,52.34071014878572,65.0,75.0,151.0,43872.0,306152.0,9,70,6,8,1,0,0,1,1,3
349,Rieteiland Oost,0.0,1.0,128747.04578723403,484335.18936170207,5.001928456489362,52.34630137989362,0.0,0.0,5190.0,0.0,3309.0,0,0,66,0,0,0,0,0,0,0
350,Rietlanden,43.0,0.0,124172.31189985895,487407.3255535966,4.934512057489422,52.373674168963326,311.0,362.0,2229.0,850.0,16870.0,4,650,1221,41,0,0,1,1,1,3
351,Rijnbuurt Midden,1.0,2.0,122088.13096037296,483847.63124941726,4.904256083216784,52.34156109989122,912.0,1058.0,1918.0,141.0,966.0,11,1282,1253,0,0,1,1,0,0,2
352,Rijnbuurt Oost,3.0,1.0,122450.40295668789,483945.63475796185,4.909562412898089,52.34246346626115,880.0,1021.0,1886.0,76.0,449.0,62,1569,1530,0,0,1,1,0,0,2
353,Rijnbuurt West,2.0,0.0,121787.02496869245,483889.3292034991,4.899833699401474,52.34191774472376,793.0,920.0,1539.0,9.0,32.0,42,1086,1073,2,0,1,1,1,1,4
354,Robert Scottbuurt Oost,8.0,0.0,118273.21843685301,487480.18474637676,4.847881735527951,52.37396615781574,830.0,964.0,1810.0,82.0,917.0,0,966,935,4,0,0,0,1,1,2
355,Robert Scottbuurt West,3.0,1.0,118065.1557871684,487671.84423133865,4.844805469019124,52.375674691252314,446.0,517.0,1732.0,659.0,19729.0,800,820,1565,2,0,1,1,1,1,4
356,Rode Kruisbuurt,0.0,1.0,123957.0885390071,489708.66321985814,4.9311390819148935,52.39434491808511,1077.0,1251.0,2617.0,1805.0,6380.0,115,141,78,0,1,1,0,0,0,2
357,Sarphatiparkbuurt,77.0,2.0,121479.13483611691,485384.3006103862,4.895166974939979,52.355334833945726,738.0,857.0,1765.0,886.0,9220.0,25,3832,3355,60,0,1,1,1,1,4
358,Sarphatistrook,29.0,5.0,122479.1142518195,486089.93475109176,4.909776484024745,52.36173669895924,914.0,1060.0,1986.0,123.0,16506.0,15,1331,1185,25,0,1,1,1,1,4
359,Scheepvaarthuisbuurt,12.0,0.0,122196.92227315916,487388.7580546318,4.90550709456057,52.37339289239905,1028.0,1193.0,2152.0,464.0,2774.0,7,389,299,8,1,0,0,1,1,3
360,Scheldebuurt Midden,11.0,1.0,121664.74945227963,484210.65200851066,4.898007645805471,52.34479817803648,1100.0,1277.0,2329.0,86.0,2389.0,1,1645,1576,10,1,0,1,1,1,4
361,Scheldebuurt Oost,6.0,3.0,122025.54918799369,484185.5159273302,4.903304680481832,52.34459403604265,1032.0,1198.0,2212.0,49.0,774.0,3,1266,1186,2,1,0,1,1,1,4
362,Scheldebuurt West,2.0,0.0,121379.75611402413,484148.50880357885,4.893831682850603,52.34422231565127,1057.0,1227.0,2246.0,376.0,3245.0,0,2403,2281,0,1,0,1,0,0,2
363,Schellingwoude Noord,1.0,0.0,126813.33333333333,488543.3333333333,4.973198116666667,52.38402583166667,858.0,997.0,1845.0,0.0,25803.0,0,5,2,0,0,0,0,0,0,0
364,Schellingwoude Oost,1.0,1.0,126069.90590862944,488590.11715228425,4.962274837055838,52.38440756111675,1552.0,1802.0,3388.0,0.0,346.0,26,195,154,0,1,1,0,0,0,2
365,Schellingwoude West,1.0,1.0,126005.97682857144,488478.64871428563,4.961345592285714,52.383402438285714,1055.0,1221.0,2437.0,0.0,2945.0,1,29,27,0,1,0,0,0,0,1
366,Schinkelbuurt Noord,28.0,4.0,118708.4944127182,485121.63813715713,4.854527934744389,52.352798219251866,793.0,919.0,1851.0,518.0,5887.0,46,1604,1489,15,0,1,1,1,1,4
367,Schinkelbuurt Zuid,54.0,1.0,118701.83016900094,484786.53082913166,4.854466262838469,52.349786067759105,804.0,933.0,1699.0,230.0,12295.0,1,1042,912,47,0,0,0,1,1,2
368,Schipluidenbuurt,0.0,0.0,117458.88262581245,485620.5594206128,4.836131604410399,52.35719818894151,0.0,0.0,1324.0,0.0,74799.0,38,0,1029,0,0,1,1,0,0,2
369,Science Park Noord,3.0,0.0,125024.57854816392,485456.0968206493,4.947200873970197,52.35618498050027,427.0,495.0,1722.0,44.0,2812.0,10,1302,1847,3,0,1,1,1,1,4
370,Science Park Zuid,7.0,1.0,125885.25246308724,485220.7942785235,4.959854618691275,52.35411651399328,10.0,12.0,1270.0,28111.0,3296.0,1,276,242,7,1,0,0,1,1,3
371,Sloterdijk II,64.0,1.0,117144.14842261904,489476.36874404765,4.831077589761905,52.391829458392856,0.0,0.0,0.0,7199.0,48961.0,93,103,0,62,0,1,0,1,1,3
372,Sloterdijk III Oost,45.0,0.0,115338.82806382979,489363.6275957447,4.804570676666667,52.39068878297872,0.0,0.0,0.0,721.0,27202.0,0,22,0,43,0,0,0,1,1,2
373,Sloterdijk III West,560.0,0.0,113953.5219088319,489449.07535327633,4.784210866638177,52.39135479834758,56.0,65.0,121.0,3667.0,28249.0,40,669,17,558,0,1,0,1,1,3
374,Slotermeer Zuid,20.0,2.0,116872.7991333003,487716.44497670967,4.827291004033697,52.375993945069375,795.0,923.0,1609.0,28.0,27359.0,304,2016,1860,16,0,1,1,1,1,4
375,Sloterpark,0.0,1.0,116264.86287804879,487278.1248292683,4.818414241951219,52.372012185853656,27.0,31.0,1910.0,0.0,0.0,0,1,35,0,0,0,0,0,0,0
376,Sloterweg e.o.,4.0,15.0,115593.58163945578,483849.1454557823,4.808959352380953,52.34114729489796,1537.0,1785.0,2805.0,138.0,10933.0,21,117,116,0,1,1,0,0,0,2
377,Spaarndammerbuurt Midden,11.0,0.0,120204.03168479605,489354.44315203954,4.8760399596662545,52.3909363354141,729.0,845.0,1710.0,283.0,5657.0,0,787,713,11,0,0,0,1,1,2
378,Spaarndammerbuurt Noordoost,4.0,0.0,120578.07302155689,489273.41143293417,4.881542834341317,52.39023166502994,747.0,865.0,1628.0,77.0,2771.0,161,1670,1629,2,0,1,1,1,1,4
379,Spaarndammerbuurt Noordwest,11.0,0.0,120041.06140271493,489468.75699909497,4.87363405718552,52.39195334097737,909.0,1056.0,1718.0,0.0,0.0,0,1105,1081,9,0,0,1,1,1,3
380,Spaarndammerbuurt Zuidoost,21.0,1.0,120588.22121526717,489008.14587022905,4.881719091282443,52.38784830320611,785.0,913.0,1734.0,776.0,5208.0,35,655,595,19,0,1,0,1,1,3
381,Spaarndammerbuurt Zuidwest,9.0,0.0,120328.85192477878,489151.0219690266,4.877894527106195,52.38911604181416,727.0,844.0,1764.0,153.0,2246.0,96,1123,1017,4,0,1,1,1,1,4
382,Spiegelbuurt,10.0,0.0,120958.08706585364,486431.5358914634,4.887412989109756,52.36471465413415,1090.0,1264.0,2362.0,2659.0,15221.0,55,820,597,6,1,1,0,1,1,4
383,Sporenburg,4.0,0.0,124801.70717577795,487404.2579562658,4.943754599041211,52.37368158236333,0.0,0.0,2539.0,199.0,992.0,0,90,1106,0,0,0,1,0,0,1
384,Sportpark Middenmeer Noord,0.0,5.0,125102.04897307692,484972.2794653846,4.948381055807692,52.35184097007692,33.0,38.0,1389.0,746.0,2028.0,1,9,251,0,0,0,0,0,0,0
385,Sportpark Middenmeer Zuid,3.0,11.0,124680.5928028169,484536.91577934276,4.942234596995305,52.34790509117371,869.0,1011.0,2095.0,3953.0,15052.0,6,213,188,3,0,0,0,1,1,2
386,Sportpark Voorland,0.0,3.0,125513.955,484491.7162,4.954468712,52.347544198,244.0,284.0,496.0,784.0,8350.0,0,1,0,0,0,0,0,0,0,0
387,Spuistraat Noord,21.0,0.0,121255.83632869784,487643.47166498104,4.891662639266751,52.37562505279393,912.0,1061.0,2041.0,2924.0,21120.0,1,781,533,19,0,0,0,1,1,2
388,Spuistraat Zuid,17.0,1.0,121089.59928722157,487103.57529777254,4.889275962731535,52.3707626108558,866.0,1004.0,1750.0,3934.0,32224.0,0,840,585,9,0,0,0,1,1,2
389,Staalmanbuurt,32.0,2.0,117121.02744070279,484745.79292679357,4.831270881425086,52.349313242220596,155.0,181.0,1954.0,239.0,38188.0,564,653,1870,30,0,1,1,1,1,4
390,Staatsliedenbuurt Noordoost,6.0,0.0,120269.55612242268,488649.081621134,4.877075436585052,52.38460123149485,780.0,905.0,1661.0,319.0,2263.0,179,770,713,5,0,1,0,1,1,3
391,Stationsplein e.o.,0.0,0.0,121846.07406626506,488007.73084939754,4.900294169939759,52.37893470680723,0.0,0.0,0.0,0.0,356175.0,0,0,0,0,0,0,0,0,0,0
392,Steigereiland Noord,0.0,0.0,127669.36933427762,486278.17980878183,4.985955552266289,52.363711297025496,171.0,199.0,2717.0,0.0,2276.0,0,226,676,0,0,0,0,0,0,0
393,Steigereiland Zuid,6.0,17.0,127224.27880898878,486040.0214981273,4.979440841226592,52.361548554513114,8.0,9.0,3350.0,0.0,27754.0,0,20,924,4,0,0,0,1,1,2
394,Surinamepleinbuurt,8.0,0.0,118543.26628021977,485562.0047769231,4.852055139340659,52.35674497383516,1048.0,1218.0,2105.0,137.0,1990.0,290,910,872,3,1,1,0,1,1,4
395,Swammerdambuurt,7.0,1.0,122369.23621857486,485590.3863426742,4.908211880016013,52.35724061381905,843.0,979.0,2042.0,410.0,4809.0,47,1246,1129,2,0,1,1,1,1,4
396,Teleport,19.0,2.0,117456.26040967896,488974.7942012458,4.835718458193579,52.38734323497365,0.0,0.0,369.0,301.0,13202.0,1,10,1394,18,0,0,1,1,1,3
397,Terrasdorp,3.0,3.0,121663.95272359964,491279.54775068874,4.897294718393021,52.40832832557392,741.0,860.0,2022.0,427.0,3434.0,190,2155,2035,2,0,1,1,1,1,4
398,Transvaalbuurt Oost,15.0,0.0,123432.3471213222,485354.3772869597,4.923839151413004,52.35518161579368,843.0,978.0,1849.0,123.0,1225.0,0,2724,2508,8,0,0,1,1,1,3
399,Transvaalbuurt West,9.0,2.0,123012.09760769231,485096.8030235294,4.9176951979819,52.35284240885068,807.0,937.0,1775.0,0.0,0.0,0,2181,2069,4,0,0,1,1,1,3
400,Trompbuurt,14.0,0.0,119185.07190311419,487379.83211245673,4.861282195565167,52.373124492029994,934.0,1084.0,2068.0,252.0,2152.0,0,1734,1638,5,0,0,1,1,1,3
401,Tuindorp Amstelstation,1.0,0.0,123305.67945417516,484188.7006496945,4.9220896871283095,52.34469797598778,922.0,1069.0,1681.0,24.0,292.0,2,485,473,0,0,0,0,0,0,0
402,Tuindorp Frankendael,0.0,1.0,124149.83340943395,484455.6039207547,4.934452819761007,52.34714475791195,836.0,970.0,1728.0,98.0,1814.0,40,1567,1527,0,0,1,1,0,0,2
403,Tuindorp Nieuwendam Oost,1.0,1.0,125025.42262537764,489264.5814048338,4.946873626163142,52.390413193451664,1028.0,1193.0,1925.0,82.0,641.0,7,1316,1156,0,1,0,1,0,0,2
404,Tuindorp Nieuwendam West,0.0,0.0,124549.8087431694,489562.4298724955,4.9398600243898,52.39306387950819,984.0,1143.0,2188.0,0.0,226.0,7,549,501,0,0,0,0,0,0,0
405,Tuindorp Oostzaan Oost,9.0,2.0,121017.02011926605,491803.27520231775,4.887734559787542,52.41299544587156,1047.0,1215.0,2288.0,64.0,325.0,7,2066,1864,7,1,0,1,1,1,4
406,Tuindorp Oostzaan West,13.0,0.0,120435.85257142856,492267.07371578953,4.879145336240602,52.41712742815037,810.0,940.0,2269.0,14.0,208.0,586,665,542,13,0,1,0,1,1,3
407,Twiske Oost,0.0,0.0,121985.57553033708,492745.58918876405,4.901876811955057,52.421523425483144,856.0,994.0,2767.0,0.0,99.0,0,440,415,0,0,0,0,0,0,0
408,Twiske West,8.0,0.0,121510.73863108808,492749.48238963727,4.894896312922279,52.42152961627979,1176.0,1366.0,2990.0,0.0,0.0,160,957,917,7,1,1,0,1,1,4
409,Uilenburg,32.0,0.0,122205.58132166302,487053.65865754924,4.905666952417943,52.37038176238512,641.0,746.0,1876.0,2165.0,20506.0,73,900,784,25,0,1,0,1,1,3
410,Utrechtsebuurt Zuid,39.0,1.0,121781.96770223576,486078.32461077237,4.899543397754065,52.36159066947154,995.0,1157.0,2164.0,670.0,6242.0,48,984,811,30,1,1,0,1,1,4
411,VU-kwartier,4.0,2.0,119369.16595702006,483247.7225759312,4.864423126676218,52.33599996684814,179.0,208.0,455.0,0.0,318294.0,29,45,246,4,0,1,0,1,1,3
412,Valeriusbuurt Oost,4.0,0.0,119546.06040422885,485157.03911442787,4.866817268619403,52.35317105624378,1362.0,1580.0,3100.0,1096.0,9946.0,0,776,675,0,1,0,0,0,0,1
413,Valeriusbuurt West,10.0,1.0,119130.38063946587,484973.5515934718,4.860735800445104,52.351495012744806,1242.0,1442.0,2641.0,198.0,3161.0,0,1348,1263,6,1,0,1,1,1,4
414,Valkenburg,10.0,0.0,122340.85597077243,486892.8711555323,4.90766882045929,52.36894477812109,509.0,590.0,1877.0,235.0,2780.0,280,541,734,8,0,1,0,1,1,3
415,Van Brakelkwartier,8.0,0.0,118998.5758080808,486660.8907070707,4.858620718020202,52.366650991838384,821.0,953.0,1983.0,32.0,125.0,0,495,469,5,0,0,0,1,1,2
416,Van Loonbuurt,18.0,0.0,121336.05681585903,486283.8477788546,4.892976805506608,52.36341061690749,1217.0,1413.0,2423.0,1990.0,14749.0,41,1129,854,13,1,1,0,1,1,4
417,Van Tuyllbuurt,5.0,1.0,119251.72784046052,484198.5669494244,4.862599113893914,52.3445378891653,983.0,1141.0,2048.0,97.0,2109.0,0,2426,2317,0,0,0,1,0,0,1
418,Van der Helstpleinbuurt,50.0,2.0,121750.55707937102,485106.34207038564,4.899178362635717,52.35285323860726,764.0,887.0,1817.0,454.0,2637.0,7,2659,2511,39,0,0,1,1,1,3
419,Van der Kunbuurt,0.0,3.0,122828.08374740485,484438.8046712803,4.915057277889273,52.346918008269895,863.0,1003.0,1698.0,0.0,0.0,5,289,272,0,0,0,0,0,0,0
420,Van der Pekbuurt,8.0,2.0,122547.38975454208,489149.57931998523,4.910483305498703,52.38923871068965,823.0,955.0,1768.0,236.0,3796.0,21,2626,2390,4,0,1,1,1,1,4
421,Veluwebuurt,2.0,0.0,121711.30939405561,483639.64991658676,4.898747369894535,52.339669192607865,774.0,899.0,2388.0,6.0,393.0,465,1000,929,0,0,1,0,0,0,1
422,Venserpolder Oost,1.0,1.0,124986.79693496863,481956.3611494581,4.946958329503708,52.324729380792924,824.0,955.0,1947.0,0.0,2578.0,0,1753,1739,0,0,0,1,0,0,1
423,Venserpolder West,1.0,1.0,124811.76101155867,481374.7846371278,4.944442938364273,52.319492917870406,771.0,895.0,1838.0,28.0,321.0,0,2559,2800,0,0,0,1,0,0,1
424,Vervoerscentrum,42.0,0.0,117884.99556701031,490376.7543917526,4.841860951237113,52.39997210247422,0.0,0.0,0.0,14622.0,454164.0,6,93,0,39,1,0,0,1,1,3
425,Vivaldi,1.0,3.0,120621.80780583335,483233.8615858333,4.882802691508333,52.3359551589,3.0,3.0,1151.0,237.0,383325.0,29,101,1082,0,0,1,1,0,0,2
426,Vliegenbos,100.0,0.0,124294.706528,489262.10652,4.936139873039999,52.39035055144,804.0,930.0,3021.0,1070.0,2265.0,25,125,82,100,0,1,0,1,1,3
427,Vogelbuurt Noord,15.0,1.0,123537.17303468207,489073.09707803465,4.925029629075144,52.388608977008666,1032.0,1197.0,1807.0,37.0,711.0,1,683,627,13,1,0,0,1,1,3
428,Vogelbuurt Zuid,8.0,0.0,123023.09257862232,488784.8143695962,4.917505827686461,52.385988369453685,967.0,1122.0,1931.0,129.0,2218.0,1,2086,1916,4,0,0,1,1,1,3
429,Vogeltjeswei,0.0,0.0,125890.33000790513,481087.0800909091,4.960286441422925,52.316965340237154,0.0,0.0,3255.0,0.0,268.0,0,0,246,0,0,0,0,0,0,0
430,Vondelpark Oost,0.0,0.0,119925.6956,485826.1018,4.872319628,52.35920839400001,0.0,0.0,0.0,7270.0,39120.0,0,5,0,0,0,0,0,0,0,0
431,Vondelpark West,0.0,0.0,118845.302,485357.309,4.85651054,52.35492528,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
432,Vondelparkbuurt Midden,6.0,2.0,119772.35694291338,486016.9005059055,4.870048659251969,52.36091341769685,1194.0,1387.0,2544.0,2026.0,20417.0,0,504,458,0,1,0,0,0,0,1
433,Vondelparkbuurt Oost,4.0,1.0,120264.49841911765,486156.60913970583,4.877258754808824,52.36220037319118,1222.0,1418.0,2729.0,11704.0,28396.0,6,676,515,3,1,0,0,1,1,3
434,Vondelparkbuurt West,11.0,2.0,119071.08348082595,485721.71867772855,4.859785641681416,52.35821511772862,931.0,1081.0,2167.0,733.0,5945.0,62,1356,1242,7,0,1,1,1,1,4
435,WG-terrein,184.0,2.0,119845.71532219365,486276.45094772923,4.871098393127678,52.36325078471294,644.0,747.0,1500.0,718.0,3628.0,49,1800,1673,182,0,1,1,1,1,4
436,Walvisbuurt,0.0,5.0,120987.49156272401,492864.8121756273,4.887192879390682,52.42253388405018,1056.0,1227.0,3099.0,0.0,0.0,3,552,536,0,1,0,0,0,0,1
437,Waterloopleinbuurt,12.0,2.0,122011.18307594936,486739.29875668074,4.902843432855134,52.36754487151898,851.0,988.0,1895.0,1697.0,8961.0,100,674,526,10,0,1,0,1,1,3
438,Weesperbuurt,25.0,0.0,122268.96053339649,486349.2023349123,4.906666132652771,52.36405436279015,882.0,1025.0,1949.0,1075.0,6922.0,142,2082,1832,13,0,1,1,1,1,4
439,Weespertrekvaart,111.0,4.0,123517.72995946942,483544.36994399416,4.925261598452469,52.338919286882835,490.0,568.0,1415.0,2266.0,32195.0,39,1142,1181,111,0,1,1,1,1,4
440,Weesperzijde Midden/Zuid,38.0,3.0,122588.70899296128,485100.3195067873,4.91148060214178,52.35284919852187,825.0,958.0,2030.0,401.0,6192.0,202,1982,1829,29,0,1,1,1,1,4
441,Werengouw Midden,17.0,1.0,125349.27964307931,489655.83952566097,4.951596461038102,52.39394712734837,671.0,779.0,2121.0,0.0,7203.0,2034,2326,2372,0,0,1,1,0,0,2
442,Werengouw Zuid,3.0,0.0,125688.76406035665,489223.9766803841,4.95662151473251,52.390084105006856,1286.0,1494.0,2664.0,53.0,438.0,638,729,587,0,1,1,0,0,0,2
443,Westelijke eilanden,131.0,0.0,120999.1780878412,488797.58600595535,4.887776858590571,52.385981550496275,837.0,971.0,1912.0,610.0,3782.0,128,1922,1697,121,0,1,1,1,1,4
444,Westerdokseiland,11.0,0.0,121317.87220718463,488691.13865329995,4.892468569816207,52.38504453444445,786.0,911.0,2503.0,560.0,36766.0,6,1077,981,9,0,0,0,1,1,2
445,Westergasfabriek,30.0,0.0,119981.11490789472,488826.9190394737,4.872820361052631,52.38618113263158,87.0,101.0,191.0,7633.0,109769.0,0,31,0,30,0,0,0,1,1,2
446,Westerstaatsman,19.0,0.0,119836.02556083244,488443.5592331911,4.870729404919957,52.38272655107791,745.0,865.0,1576.0,78.0,555.0,0,1874,1808,6,0,0,1,1,1,3
447,Westhaven Noord,150.0,0.0,116728.40165876778,491438.9187867298,4.8247462146445494,52.40943823815166,73.0,85.0,149.0,1937.0,204102.0,16,144,0,145,0,1,0,1,1,3
448,Westhaven Zuid,40.0,0.0,116528.16267,489684.93629,4.8220046669,52.3936610723,0.0,0.0,0.0,38416.0,206837.0,43,92,0,40,1,1,0,1,1,4
449,Westlandgrachtbuurt,5.0,0.0,118289.45495207074,485228.9560600279,4.848365952703583,52.353734872000935,827.0,960.0,1958.0,83.0,734.0,3,2148,2079,0,0,0,1,0,0,1
450,Weteringbuurt,67.0,2.0,121253.8375132218,486022.95978305454,4.891795919303832,52.361060886875336,995.0,1155.0,2046.0,579.0,2757.0,83,1842,1552,52,1,1,1,1,1,5
